,Latitude,Longitude,ReconAge,ReconPlateID
104,-49.5214,178.8609,1.0,813.0
105,-49.5214,178.8609,1.0,813.0
106,-37.2906492503512,174.983698991602,1.0,8065.0
107,-37.367831522285,174.901208682497,1.0,8065.0
108,-37.3092373969218,175.002283350347,1.0,8065.0
109,-37.327193649078,174.905737278516,1.0,8065.0
110,-35.3478286208002,173.896523522062,1.0,8065.0
111,-29.2439,177.8689,1.0,839.0
112,-29.2786,177.8861,1.0,839.0
113,-37.3090545927838,174.962784987381,1.0,8065.0
114,-37.232534817766,174.801692020904,1.0,8065.0
115,-37.307563874401,174.842012255329,1.0,8065.0
116,-37.2316339299129,174.801668527244,2.0,8065.0
117,-35.6559512123748,174.192598045281,2.0,8065.0
118,-37.2281644992098,174.738461424185,2.0,8065.0
119,-37.0744211602682,174.978672311221,2.0,8065.0
