Sample_ID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,Plot_unit,Rock_Types,Age_Min,Age_Max,vol
0,32.219886266383,7.227384144320673e-06,3.396629721068761e-05,4.870758890107343e-06,4.870758890107343e-06,2.035963916569017e-05,2.168351524793444e-05,1.7347924470826858e-06,1.4752612127483611e-05,Tasmantid,"basaltic & rudaceous (cgl, br)",Miocene,Miocene,1
0,4.731943130493163,3.992862350270658e-06,4.358937932441231e-05,4.480865931194102e-06,4.480865931194102e-06,6.790833734922671e-06,1.4829414991583017e-05,4.043673231183161e-07,1.8272034160465977e-05,Arc,andesitic & lava flow,Quaternary,Eocene,1
-1,12.497660636901855,6.200193928794713e-06,2.7041109293492467e-05,7.741557892305902e-06,7.741557892305902e-06,2.2113315935712308e-05,7.134075307866379e-06,5.166559240080737e-06,2.4281242503121826e-06,Horomaka,basaltic,Miocene,Miocene,1
-1,3.504535706044357,4.446030743565643e-06,2.0872891010303336e-05,5.191705440665828e-06,5.191705440665828e-06,4.877858994987826e-06,4.214033859240444e-06,2.8225061250850563e-06,6.203418115159453e-06,Horomaka,basaltic,Miocene,Cretaceous,1
-1,13.84286278206596,6.295335424510995e-06,2.9028533134850293e-05,7.806574103597086e-06,7.806574103597086e-06,1.955140408669814e-05,7.808399884546719e-06,5.189399188384414e-06,3.2649617353299374e-06,Horomaka,trachytic & andesitic & basaltic,Miocene,Miocene,1
-1,26.578530812168093,6.76221588946646e-06,3.8576347754511295e-05,8.653358236188069e-06,8.653358236188069e-06,1.0347964112773068e-05,2.5492272671232252e-05,5.278362846001983e-06,1.686810056188867e-05,LIP,basaltic,Pliocene,Cretaceous,1
-1,10.504395484924318,6.161405634136525e-06,2.586703346643155e-05,7.943209429576222e-06,7.943209429576222e-06,1.9004872228833847e-05,6.081675570503562e-06,5.214863026503159e-06,5.1424909552801974e-06,Horomaka,basaltic,Miocene,Miocene,1
-1,55.95714569091797,8.598229214840103e-06,2.6113283719128505e-05,1.2424772648955695e-05,1.2424772648955695e-05,4.60152159575955e-06,1.4919348018033813e-05,5.514267273247242e-06,5.186454896626162e-05,Horomaka,basaltic,Quaternary,Paleocene,1
-1,18.404913207941963,5.838101361773972e-06,6.266528206256235e-05,5.920956000399435e-06,5.920956000399435e-06,1.485610743073555e-05,5.711970432262913e-05,3.576327368816237e-06,6.073684060364447e-05,Arc,"basaltic & rudaceous (cgl, br)",Eocene,Eocene,1
-1,2.6235741040467486,4.433874517479196e-06,3.04268715267354e-05,9.283384550713573e-06,9.283384550713573e-06,1.1949766303587241e-05,2.0607813500480616e-05,5.030694519103054e-06,3.311280272428647e-05,Back arc basin,basaltic & lutaceous (mst),Miocene,Cretaceous,1
0,3.111923279635146,4.505739070737036e-06,3.30226370202593e-05,7.493112207157538e-06,7.493112207157538e-06,1.7090716937673278e-05,1.6793264067037134e-05,5.123756406828762e-06,3.669424187040452e-05,Back arc basin,basaltic,Miocene,Cretaceous,1
