Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp
105301,Auckland University (AU),45434,Whakaari,Surface,,,,,36161,Decade,"Lindsay, J.M.",New Zealand,S08,2698100.00000161,6556500.00006626,-36.1746766390948,175.08459271376,,,Orau Cove,Yes,porphritic dacite lava,,Haowhenua Formation,Haowhenua Formation,rhyolitic & trachytic & lava flow,Quaternary,Quaternary,hand specimen,1475,whole rock,,14250,"Lindsay, J.M.",geochron methods,K-Ar,Okayama University of Science,,"January 1, 1999",Decade,,,,1.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1.6,175.04912370986693,-36.763072720994046,2.0,8065.0,23.93784241929686,6.030015356373043e-06,6.408603399765973e-05,4.35793845099397e-06,4.35793845099397e-06,4.0621049265610054e-05,0.000148979826620696,0.0,1.1799200131503451e-05
105791,INS R (R),3706,Horomaka,Surface,,,,,27760,Decade,"Robertson, D.J.",New Zealand,R12,2687373.00000116,6446251.00005049,-37.170133791251,174.993477942848,,,Bombay Quarry,Yes,basalt,,Kerikeri Volcanic Group,Bombay Basalt,basaltic,Quaternary,Quaternary,hand specimen,1532,whole rock,,14862,"Robertson, D.J.",geochron methods,K-Ar,INS,R3706,"January 1, 1976",Decade,Robertson 1976,,age pub as 1.56 Ma recalculated for PETLAB using S&J77 decay constants,1.6,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1.6,174.97722949461055,-37.75956728538415,2.0,8065.0,23.674510955810547,5.997480910816927e-06,8.745096348947921e-05,4.571504181072278e-06,4.571504181072278e-06,4.062104926561006e-05,0.000175146775593275,0.0,1.9679528040217745e-05
107816,other,RMB-S10-63,Arc,Surface,,,,,1989-01-01 00:00:00,Decade,"Briggs, R.M.",New Zealand,S15,2700100.00000089,6352300.00003652,-38.0137451034838,175.162843300663,,50.0,"Pirongia East, Pukehoua",Yes,transitional olivine basalt,,Pirongia Volcanic Formation,Pirongia Volcanics,basaltic,Quaternary,Quaternary,,1783,whole rock,,17628,"Briggs, R.M.",geochron methods,K-Ar,HRI,S10-63,"January 1, 1989",Decade,Briggs et al. 1989,,,1.64,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58,1.64,175.16524317378614,-38.600904140063896,2.0,8065.0,121.2357048213228,8.942369986912993e-06,0.00010170254455332177,3.729577447614385e-06,3.729577447614385e-06,6.76253839628771e-05,0.0001652504613365953,0.0,2.785419936261275e-05
169050,other,RVAN-17-48.2,Arc,Dredge,Nesmeyanov-N17-48,,,,,,"Ballance, P.F.",Offshore Regions,,,,-32.325,179.228,,,Western flank Star of Bengal Bank (Kermadec Ridge),,,,,,,,,,,whole rock,,44847,"Itaya, T.",geochron methods,K-Ar,Okayama University of Science,S25-110,32874,Decade,"Ballance et al 1999, Marine Geology",,,1.67,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,179.10011173725286,-32.99819333938411,2.0,823.0,25.113013190385928,6.023102151488275e-06,1.7943169950740412e-05,4.2257627589886264e-06,4.2257627589886264e-06,4.2023031710414216e-05,4.468195811568875e-06,0.0,3.456795255252223e-06
169048,other,RVAN-17-47.9,Arc,Dredge,Nesmeyanov-N17-47,,,,,,"Ballance, P.F.",Offshore Regions,,,,-32.35,179.171,,,Western flank Star of Bengal Bank (Kermadec Ridge),,,,,,,,,,,whole rock,,44845,"Itaya, T.",geochron methods,K-Ar,Okayama University of Science,S25-115,32874,Decade,"Ballance et al 1999, Marine Geology",,,1.71,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,179.04320570036623,-33.024024361483264,2.0,823.0,25.113019943237305,6.025554303767011e-06,1.7098327854959582e-05,4.2214945902025106e-06,4.2214945902025106e-06,4.2023031710414216e-05,4.252402530724201e-06,0.0,3.2710362472598134e-06
107102,other,DJR-226b,Horomaka,Surface,,,,,32509,Decade,"Robertson, D.J.",New Zealand,R14,2678900.00000091,6374300.00003959,-37.8200208864005,174.915949470154,,50.0,Okete Quarry,Yes,basanite,,Okete Volcanic Formation,Alexandra Volcanics,basanitic,Quaternary,Pliocene,,1686,whole rock,,16598,"Robertson, D.J.",geochron methods,K-Ar,INS,,"January 1, 1989",Decade,Briggs et al. 1989,,,1.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1.8,174.9123677129519,-38.41035950500219,2.0,8065.0,33.81351100112858,6.146041656829009e-06,8.689838017513327e-05,4.55391218414384e-06,4.55391218414384e-06,4.201980696749615e-05,0.00015290101306835612,0.0,2.0856424690231616e-05
105318,Auckland University (AU),44062,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,P05,2606500.00000084,6657500.00006493,-35.2799179121437,174.051784751102,,,"Hururu Falls, flow",Yes,hawaiite,,Kerikeri Volcanic Group,Northland Basalts,trachytic & andesitic,Quaternary,Pliocene,hand specimen,1476,whole rock,,14275,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44062,"January 1, 1993",Decade,Smith et al. 1993,,,1.85,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1.85,173.99126294224854,-35.88152160053719,2.0,8065.0,27.302437316097773,6.1665773500863e-06,6.624054209976424e-05,4.35831270806375e-06,4.35831270806375e-06,4.565611743601039e-05,0.00011973670003492558,0.0,1.6961064360810713e-05
105317,Auckland University (AU),44063,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,P05,2609400.00000085,6658500.00006469,-35.2705564061114,174.083504962076,,,"Waitangi, Hobson Beach, flow",Yes,hawaiite,,Horomaka Supersuite,Northland Basalts,trachytic & andesitic,Quaternary,Pliocene,hand specimen,1476,whole rock,,14274,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44063,"January 1, 1993",Decade,Smith et al. 1993,,,1.87,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1.87,174.02304024494717,-35.87176186489348,2.0,8065.0,27.283212661743168,6.157107375205195e-06,6.671937074039254e-05,4.35828929087281e-06,4.35828929087281e-06,4.5656117436010384e-05,0.00011940358565135656,0.0,1.734587077170628e-05
107115,other,DJR-396a,Arc,Surface,,,,,1989-01-01 00:00:00,Decade,"Robertson, D.J.",New Zealand,S15,2696100.0000009,6356300.00003706,-37.9785927046193,175.116201208108,,50.0,"Pirongia, Bald Spur",Yes,basalt,,Pirongia Volcanic Formation,Pirongia Volcanics,basaltic,Quaternary,Pliocene,,1687,whole rock,,16611,"Robertson, D.J.",geochron methods,K-Ar,INS,,"January 1, 1989",Decade,Briggs et al. 1989,,,1.89,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1.89,175.11749813891112,-38.566353099550106,2.0,8065.0,121.27561163888312,8.737463500761444e-06,9.646224561095134e-05,3.789909932161344e-06,3.789909932161344e-06,6.573380898872581e-05,0.00015961989468716556,0.0,2.588471017189048e-05
107810,other,RMB-S10-58,Horomaka,Surface,,,,,32509,Decade,"Briggs, R.M.",New Zealand,S16,2716800.00000088,6335700.00003427,-38.1594046256863,175.358028536421,,50.0,Ngahape,Yes,hawaiite,,Okete Volcanic Formation,Alexandra Volcanics,trachytic & andesitic,Pliocene,Pliocene,,1782,whole rock,,17622,"Briggs, R.M.",geochron methods,K-Ar,HRI,S10-58,"January 1, 1989",Decade,Briggs et al. 1989,,,1.9,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1.9,175.365027382835,-38.74404291947942,2.0,8065.0,121.36872863769531,8.949473017261136e-06,0.00010355972495594701,3.7295779445460198e-06,3.7295779445460198e-06,6.758446053595709e-05,0.00016746784261549612,0.0,3.123272524910065e-05
105789,INS R (R),3708,Horomaka,Surface,,,,,27760,Decade,"Robertson, D.J.",New Zealand,R14,2678956.00000085,6374964.00003969,-37.8140282123275,174.916419428735,,,Okete Quarry,Yes,basalt,,Okete Volcanic Formation,Alexandra Volcanics,basaltic,Pliocene,Pliocene,hand specimen,1532,whole rock,,14860,"Robertson, D.J.",geochron methods,K-Ar,INS,R3708,"January 1, 1976",Decade,Robertson 1976,,age pub as 1.885 Ma recalculated for PETLAB using S&J77 decay constants,1.94,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1.94,174.91271796646637,-38.40436161851698,2.0,8065.0,27.970117016645943,6.057608679059691e-06,8.717422983912606e-05,4.57998396953203e-06,4.57998396953203e-06,4.120996229688183e-05,0.00015351025864908412,0.0,2.0912451995915765e-05
107111,other,DJR-336,Horomaka,Surface,,,,,32509,Decade,"Robertson, D.J.",New Zealand,R14,2673400.00000086,6379700.00004036,-37.7724487227122,174.852183674675,,50.0,Te Akau Wharf Road,Yes,basanite,,Okete Volcanic Formation,Alexandra Volcanics,basanitic,Pliocene,Pliocene,,1687,whole rock,,16607,"Robertson, D.J.",geochron methods,K-Ar,INS,,"January 1, 1989",Decade,Briggs et al. 1989,,,1.94,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1.94,174.84711378124499,-38.36360635782392,2.0,8065.0,23.674510955810547,5.993300874251874e-06,7.984068489145802e-05,4.598943178280025e-06,4.598943178280025e-06,4.062104926561006e-05,0.00014513899757577844,0.0,1.8461310454323244e-05
249211,other,NZN28,Horomaka,Surface,,,,NZN28,37987,Year,"Timm, C.",New Zealand,P05,2585174.7795917,6648334.82677473,-35.3648285487388,173.818524490776,,,Near Lake Omapeu,Yes,"Trachyandesite, high silica group MORB",,Kerikeri Volcanic Group,,basaltic,Quaternary,Paleocene,unknown,10611,whole rock,,139801;139642;139698,"Timm, C.;Timm, C.;Timm, C.",ICP-MS;TIMS;XRF,Ar-Ar,Kiel U;Kiel U;Kiel U,;;,"January 1, 2010;January 1, 2010;January 1, 2010",Year;Year;Year,Timm et al 2010,,,1.97,0.68,59.75,1.06,17.64,,,0.6,5.32,0.1,2.86,5.7,4.63,1.7,0.29,,0.56,,0.37,,100.58,,229.0,51.2,19.0,29.5,2.66,29.2,6.72,4.5,1.42,19.3,6.06,5.69,1.53,26.7,0.74,21.4,23.8,24.8,7.31,6.01,51.3,14.4,5.15,269.0,1.41,1.02,6.39,0.69,1.81,113.0,48.0,4.58,76.9,261.0,,,,,,,,0.703315,5e-06,,0.512963,3e-06,,,,18.81,0.001,15.592,0.001,38.584,0.001,,,,,,,,,,,66.0,1.97,173.75787941840477,-35.96935316173335,2.0,8065.0,28.47398567199707,6.1849994794106225e-06,6.708245865193789e-05,4.3834167566899605e-06,4.3834167566899605e-06,4.56561174360104e-05,0.0001227997030194893,8.65877016365759e-08,1.5100876526548209e-05
105784,INS R (R),3714,Horomaka,Surface,,,,,1976-01-01 00:00:00,Decade,"Robertson, D.J.",New Zealand,R14,2673414.00000085,6379511.00004034,-37.7741486392819,174.852388300774,,,Te Akau Quarry,Yes,basalt,,Okete Volcanic Formation,Alexandra Volcanics,basaltic,Pliocene,Pliocene,hand specimen,1531,whole rock,,14853;14854,"Robertson, D.J.;Robertson, D.J.",geochron methods;geochron methods,K-Ar;K-Ar,INS;INS,R3714;R3714,"January 1, 1976;January 1, 1976",Decade;Decade,;Robertson 1976,,age pub as 1.94 Ma recalculated for PETLAB using S&J77 decay constantsage pub as 2.32 Ma recalculated for PETLAB using S&J77 decay constants,1.99,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,1.99,174.8473549879064,-38.36530344634558,2.0,8065.0,23.674510955810543,5.993300874251872e-06,7.988045400341626e-05,4.598943178280025e-06,4.598943178280025e-06,4.062104926561006e-05,0.00014512108431412112,0.0,1.8474784080629918e-05
