Sample_ID,Collection,Coll_No,Plot_unit,Feature_Type,Feature_Name,Top_Depth,Bottom_Depth,Field_Number,Collection_Date,Date_Rounding,Collectors,Country_Name,NZMG_Sheet,NZMG_East,NZMG_North,Latitude,Longitude,Method,Accuracy,Site_Description,In_Situ,Rock_Description,Colour,Litho2014_strat_name,Informal_strat_unit,Rock_Types,Age_Min,Age_Max,Sample_Types,Lab_Sample_ID(s),Material(s),Part_Analysed,Analysis_ID(s),Investigator(s),Analysis_Method(s),Geochron_Method(s),Laboratory(s),Lab_Number(s),Analysis_Date(s),Analysis_Date_Rounding(s),Analysis_Publication(s),Analysis_Bib_Ref(s),Analysis_Comment(s),age_sample_result_Ma,age_sample_2sig_err_abs,SiO2,TiO2,Al2O3,FeOT,Fe2O3T,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,H2O_plus,H2O_minus,CO2,LOl,Majors_total,As,Ba,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr,He4_raw_nnc,He4_corr_nnc,He_R_Ra_raw,He_R_Ra_corr,He_R_Ra_cor_err,dO18,Rb87_Sr86,Sr87_Sr86,Sr87_Sr86_err_abs,Sm147_Nd144,Nd143_Nd144,Nd143_Nd144_err_abs,Lu176_Hf177,Hf176_Hf177,Hf176_Hf177_err_abs,Pb206_Pb204,Pb206_Pb204_err_abs,Pb207_Pb204,Pb207_Pb204_err_abs,Pb208_Pb204,Pb208_Pb204_err_abs,age_model_assumed_Ma,Sr87_86i_calc,Nd143_144i_calc,eNdi_calc,Hf176_177i_calc,eHfi_calc,Pb206_204i_calc,Pb207_204i_calc,Pb208_204i_calc,Petlab notes,Age_Num,Age,ReconLon,ReconLat,ReconAge,ReconPlateID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp
118543,other,Norfolk-PH-14,Horomaka,Surface,,,,PH-14,1973-01-01 00:00:00,Decade,"Green, T.H.",Norfolk Island,,,,-50.20218957622222,159.73607654887886,"Map - 1:50,000 scale",50.0,Philip Island,Yes,Basalt,,,,basaltic,Pliocene,Pliocene,hand specimen,39244,whole rock,,44709,"Green, T.H.",,K-Ar,Macquarie U,,1973-01-01 00:00:00,Decade,"Green 1973, Jones & McD 1973, Green 1978",,Recalc using new decay constants,2.83,0.03,50.62,1.94,15.95,,,4.24,5.42,0.15,6.78,8.87,3.91,0.73,0.37,,,,,0.8,99.78,,138,35,,,,,,,161,21,,3.45,,13,0.33,,23,,,,10,22.3,4.6,492.0,,0.96,1.43,,,,22.0,1.72,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,2.83,159.77951714398924,-51.571515359130586,3.0,801.0,28.747136529362997,6.341348728465402e-06,1.7751982258748013e-05,4.327839619464263e-06,4.327839619464263e-06,4.644485342054918e-05,1.4640258113602539e-05,2.426878853823104e-07,0.0
105337,Auckland University (AU),44043,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,O05,2568100.00000057,6648700.00006666,-13.37576596409572,167.16281840479022,,,"Hooreke, Utakura Road",Yes,nepheline hawaiite,,Kerikeri Volcanic Group,Northland Basalts,trachytic & andesitic,Pliocene,Pliocene,hand specimen,1478,whole rock,,14294,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44043,"January 1, 1993",Decade,Smith et al. 1993,,,2.84,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,2.84,169.1851354280631,-13.581144780342482,3.0,827.0,11.4240540284847,4.60306320295072e-06,5.632836600715624e-05,4.436549132941766e-06,4.436549132941766e-06,5.092164578418514e-06,0.0001179260070809189,2.273208413944222e-07,5.1642229911510536e-05
118554,other,Norfolk-PH-4,Horomaka,Surface,,,,PH-4,1973-01-01 00:00:00,Decade,"Green, T.H.",Norfolk Island,,,,-51.09000708928664,158.61608565340578,"Map - 1:50,000 scale",50.0,Philip Island,Yes,Basalt,,,,basaltic,Pliocene,Pliocene,hand specimen,39243,whole rock,,44708,"Green, T.H.","XRF, INAA",K-Ar,Macquarie U,,1973-01-01 00:00:00,Decade,"Green 1973, Jones & McD 1973, Green 1978",,Recalc using new decay constants,2.85,0.03,50.2,2.23,17.36,,,6.7,3.01,0.12,3.98,7.69,4.1,0.91,0.44,,,,,1.98,98.72,,174,31,,,,,,,3.73,24,,3.37,,17.5,1,,32,,,,11,20.6,9.9,531.0,,2.22,1.01,,,,84.0,5.98,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,2.85,158.65929645304294,-52.475643800044494,3.0,801.0,30.164044641842327,6.50626294092661e-06,2.4024867984376565e-05,4.548029140274641e-06,4.548029140274641e-06,4.6781506025116e-05,1.5202267542210563e-05,0.0,0.0
105367,Auckland University (AU),43823,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,P05,2588000.00000066,6667000.00006264,-34.63165150397939,150.1114162518573,,,"Pungaere, boulders",Yes,pantellerite,,Kerikeri Volcanic Group,Northland Basalts,peralkaline,Pliocene,Pliocene,hand specimen,1481,whole rock,,14324,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU43823,"January 1, 1993",Decade,Smith et al. 1993,,,2.89,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,2.89,149.5373513634745,-36.12664300378563,3.0,801.0,67.63426971435547,7.709672900091391e-06,4.445920927488255e-05,4.349098617240088e-06,4.349098617240088e-06,4.6929315431043506e-05,2.5148691584936587e-05,0.0,2.0140642557493088e-05
105299,Auckland University (AU),45436,Whakaari,Surface,,,,,36161,Decade,"Lindsay, J.M.",New Zealand,S08,2700400.00000164,6555900.00006619,-31.404897924615906,154.0039202535237,,,Lots Wife,Yes,porphyritic rhyodacite lava,,Waimaomao Formation,Waimaomao Formation,rhyolitic & trachytic & lava flow,Pliocene,Pliocene,hand specimen,1474,whole rock,0.2mm matrix,14244,"Lindsay, J.M.",geochron methods,K-Ar,Okayama University of Science,,"January 1, 1999",Decade,,,,2.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,2.9,153.4436778989025,-32.85570506379984,3.0,801.0,59.81237774693203,7.704098709226109e-06,0.00011377181556616917,4.3915369603716e-06,4.3915369603716e-06,4.451803761185147e-05,7.623230225559537e-05,0.0,7.74043272932275e-05
105300,Auckland University (AU),45435,Whakaari,Surface,,,,,36161,Decade,"Lindsay, J.M.",New Zealand,S08,2700300.00000156,6556200.00006623,-45.34958316230716,161.57297903947492,,,Pohutukawa Flat,Yes,porphritic rhyodacite,,Waimaomao Formation,Waimaomao Formation,rhyolitic & trachytic & lava flow,Pliocene,Pliocene,hand specimen,1474,whole rock,,14249,"Lindsay, J.M.",geochron methods,K-Ar,Okayama University of Science,,"January 1, 1999",Decade,,,,3.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,3.0,161.49580440618428,-46.69195538083294,3.0,833.0,61.10997389082149,7.694330398724088e-06,3.866217378294908e-05,4.465461669040537e-06,4.465461669040537e-06,1.2706449355560655e-05,1.8736968232127027e-05,0.0,0.0
105333,Auckland University (AU),44047,Horomaka,Surface,,,,,1993-01-01 00:00:00,Decade,"Smith, I.E.M.",New Zealand,P05,2590200.00000069,6669100.00006203,-20.09440612165568,173.01512964301057,,,"L. Manuwai, flow in quarry",Yes,alkali basalt,,Kerikeri Volcanic Group,Northland Basalts,basaltic,Pliocene,Pliocene,hand specimen,1478,whole rock,,14290,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44047,"January 1, 1993",Decade,Smith et al. 1993,,,3.02,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,3.02,175.24542771317155,-20.90291665638283,4.0,824.0,4.38320841418048,3.7702607919493358e-06,6.326367409589944e-06,4.046822914495199e-06,4.046822914495199e-06,8.015186720392054e-06,2.5887644562067946e-05,0.0,1.018165690556032e-06
107104,other,DJR-269b,Horomaka,Surface,,,,,32509,Decade,"Robertson, D.J.",New Zealand,S15,2699000.00000085,6341900.00003506,-48.510833899296216,178.8699450286595,,50.0,Turitea Quarry,Yes,basanite,,Okete Volcanic Formation,Alexandra Volcanics,basanitic,Pliocene,Pliocene,,1686,whole rock,,16600,"Robertson, D.J.",geochron methods,K-Ar,INS,,"January 1, 1989",Decade,Briggs et al. 1989,,,3.03,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,3.03,-179.23514860248545,-49.370481291279106,4.0,813.0,78.73728903268872,8.819119102554397e-06,2.4193403197611387e-05,4.208236987324199e-06,4.208236987324199e-06,4.031344815302873e-06,5.4789451825001805e-06,0.0,0.022366088776401102
105785,INS R (R),3713,Horomaka,Surface,,,,,27760,Decade,"Robertson, D.J.",New Zealand,R15,2682701.0000009,6365072.00003828,-49.878895195433415,170.69821841493822,,,Wharauroa Plateau Falls,Yes,basalt,,Okete Volcanic Formation,Alexandra Volcanics,basaltic,Pliocene,Pliocene,hand specimen,1531,whole rock,,14855,"Robertson, D.J.",geochron methods,K-Ar,INS,R3713,"January 1, 1976",Decade,Robertson 1976,,age pub as 3.035 Ma recalculated for PETLAB using S&J77 decay constants,3.12,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,3.12,172.42433243905805,-50.6616807282969,4.0,813.0,78.75574493408203,8.79896560945781e-06,3.408490351769801e-05,5.00560918226256e-06,5.00560918226256e-06,4.136685220146319e-06,9.796765032955387e-06,2.317000983748585e-06,6.575111564490087e-05
249257,other,SO168-DR19-1,Horomaka,Dredge,Sonne 168-19,,,SO168DR19-1,37610,,"Hoernle, K. & Mortimer, N. & Werner, R.",Offshore Regions,,,,-45.0675997325241,158.4655215856608,,50.0,Rowling Seamount. Small cone from base to top on NE slope,Yes,"Basanite, low silica group",,,,basaltic,Quaternary,Paleocene,unknown,10610,whole rock,,139791;139629;139687,"Timm, C.;Timm, C.;Timm, C.",ICP-MS;TIMS;XRF,;;,Kiel U;Kiel U;Kiel U,;;,"January 1, 2010;January 1, 2010;January 1, 2010",Year;Year;Year,Timm et al 2010,,Step heat,3.32,0.27,41.35,3.7,16.21,,,1.64,14.57,0.27,12.85,11.05,2.02,0.99,0.78,,1.89,,0.04,,100.07,,286,117,69.1,362,0.48,87,9.13,3.55,4.47,21.3,13.6,7.32,1.53,59.6,0.33,65.1,66.6,375,5.98,16.3,19.6,19.1,14.1,596.0,3.83,1.79,6.41,0.43,1.48,240.0,43.2,2.45,175.0,303,,,,,,,,0.703088,4e-06,,0.512832,3e-06,,0.282949,7e-06,19.644,0.0,15.648,0.0,39.307,0.001,,,,,,,,,,,66.0,3.32,158.24678233803573,-46.92141077778752,4.0,833.0,55.15551800247145,7.68811188289382e-06,1.989518571265678e-05,4.710727204123697e-06,4.710727204123697e-06,1.3717006696213553e-05,1.8130599150121854e-05,0.0,0.0
112174,GNS P (P),69222,Horomaka,Dredge,Sonne 169-11,110,113,SO169-DR11-01,37665,,"Barker, D. & Davy, B.W. & Werner, R.",Offshore Regions,,,,-21.452502723491637,161.06986963050204,,50.0,"Pukaki Bank North. Small round butte structure (""Castle rock"") on northern edge of Pukaki Bank",Yes,Very fresh black aphyric basalt. Highly vesicular (ves. <1mm) but only few vesicles filled with secondary calcite,N 1,,,basaltic,Miocene,Cretaceous,hand specimen:Gracefield,10610,whole rock,,139868;139635;139773,"Timm, C.;Timm, C.;Timm, C.",ICP-MS;TIMS;XRF,Ar-Ar matrix,Kiel U;Kiel U;Kiel U,;;,"January 1, 2010;January 1, 2010;January 1, 2010",Year;Year;Year,Timm et al 2010;Timm et al 2010;Timm et al 2010,,Step heat,3.34,0.19,45.3,2.73,16.59,,,1.11,9.84,0.2,3.34,9.73,4.85,1.63,1.4,,1.71,,1.34,,99.77,,417,111,24.2,1.22,0.4,21.4,6.74,2.75,3.33,26.1,9.28,6.99,1.15,55.4,0.27,74.6,54.3,4.33,3.4,14.0,32.9,6.56,10.7,1109.0,4.32,1.33,7.14,0.35,1.97,96.3,34.3,2.07,143.0,351,,,,,,,,0.703008,2e-06,,0.512964,3e-06,,,,19.776,0.003,15.604,0.003,39.319,0.007,,,,,,,,,,,145.0,3.34,160.20547847110007,-23.261681154904256,4.0,869.0,73.78213500976562,8.304495167976711e-06,2.3458091314042483e-05,4.512027317105094e-06,4.512027317105094e-06,6.138523587959193e-06,2.4044052162575985e-05,0.0,8.171942728263909e-06
105339,Auckland University (AU),44041,Horomaka,Surface,,,,,33970,Decade,"Smith, I.E.M.",New Zealand,P05,2579200.0000007,6660600.0000643,-16.491452024110906,162.54799430265902,,,"Okaihau, Waihoranga Stream, flow",Yes,transitional basalt,,Kerikeri Volcanic Group,Northland Basalts,basaltic,Pliocene,Pliocene,hand specimen,1479,whole rock,,14296,"Smith, I.E.M.",geochron methods,K-Ar,HRI,AU44041,"January 1, 1993",Decade,Smith et al. 1993,,,3.35,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.332999999999999,3.35,161.58404284948838,-18.271263371824723,4.0,861.0,55.03331624098507,7.6891275348963e-06,1.8113697223793688e-05,5.282809630721233e-06,5.282809630721233e-06,1.1677505708114108e-05,1.6576513828199558e-05,3.0261369974871998e-06,4.318010984355954e-06
